time	V(n012)	V(n015)	I(L1)
1.976108453615627e-007	3.033887e-004	1.500001e+001	-1.638536e-003
2.442069032943224e-007	3.110101e-004	1.500000e+001	-2.507216e-003
2.945598792289347e-007	3.278652e-004	1.500000e+001	-3.642223e-003
3.610008129160710e-007	3.588801e-004	1.500000e+001	-5.445754e-003
4.359364683215333e-007	4.085077e-004	1.500000e+001	-7.878246e-003
5.314274740761949e-007	4.877651e-004	1.500000e+001	-1.155703e-002
6.425891559381565e-007	6.042623e-004	1.500000e+001	-1.658000e-002
7.827515740467114e-007	7.780984e-004	1.500000e+001	-2.389497e-002
9.520704686340482e-007	1.023881e-003	1.500000e+001	-3.383034e-002
1.147382968634048e-006	1.335674e-003	1.500000e+001	-4.623561e-002
1.342695468634048e-006	1.663061e-003	1.500000e+001	-5.903129e-002
1.538007968634049e-006	1.982240e-003	1.500000e+001	-7.152831e-002
1.733320468634049e-006	2.277859e-003	1.500000e+001	-8.327571e-002
1.814687500000000e-006	2.388475e-003	1.500000e+001	-8.780528e-002
1.847265937268097e-006	2.431596e-003	1.500000e+001	-8.948004e-002
1.922422811804292e-006	2.523402e-003	1.500000e+001	-9.313716e-002
1.934933838689393e-006	2.537632e-003	1.500000e+001	-9.370926e-002
1.947444865574494e-006	2.551694e-003	1.500000e+001	-9.427204e-002
1.959955892459595e-006	2.565588e-003	1.500000e+001	-9.482552e-002
1.972466919344696e-006	2.579313e-003	1.500000e+001	-9.536969e-002
1.984977946229797e-006	2.592869e-003	1.500000e+001	-9.590455e-002
1.997488973114899e-006	2.606257e-003	1.500000e+001	-9.643010e-002
2.010000000000000e-006	2.619477e-003	1.500000e+001	-9.694634e-002
2.010521750341863e-006	2.563889e-003	1.472279e+001	-9.696755e-002
2.011565251025588e-006	2.440865e-003	1.411935e+001	-9.700991e-002
2.013652252393040e-006	2.209667e-003	1.274442e+001	-9.709445e-002
2.015862471361219e-006	1.992381e-003	1.103040e+001	-9.718365e-002
2.020000000000000e-006	1.586412e-003	7.424129e+000	-9.735010e-002
2.020294516138442e-006	1.591204e-003	7.282973e+000	-9.736189e-002
2.020883548415326e-006	1.615499e-003	7.008612e+000	-9.738546e-002
2.022061612969094e-006	1.676725e-003	6.487449e+000	-9.743253e-002
2.023261427367920e-006	1.733610e-003	6.000505e+000	-9.748036e-002
2.025661056165572e-006	1.856944e-003	5.149215e+000	-9.757567e-002
2.029340580154206e-006	2.089490e-003	4.025797e+000	-9.772126e-002
2.031243236081976e-006	2.282146e-003	3.530913e+000	-9.779622e-002
2.032788023329249e-006	2.546978e-003	3.181717e+000	-9.785686e-002
2.033719178326723e-006	2.825619e-003	2.988847e+000	-9.789333e-002
2.034529967925899e-006	3.250057e-003	2.831548e+000	-9.792501e-002
2.035137856864442e-006	3.820747e-003	2.719125e+000	-9.794874e-002
2.035657335090699e-006	4.698007e-003	2.626898e+000	-9.796897e-002
2.036158472575804e-006	6.234473e-003	2.541203e+000	-9.798845e-002
2.036757077104073e-006	9.563499e-003	2.442606e+000	-9.801164e-002
2.037337439522217e-006	1.465457e-002	2.350902e+000	-9.803402e-002
2.038101619702749e-006	2.317880e-002	2.235716e+000	-9.806326e-002
2.038966211868164e-006	3.393558e-002	2.112153e+000	-9.809601e-002
2.039976690561072e-006	4.757955e-002	1.978247e+000	-9.813368e-002
2.041997647946890e-006	7.809269e-002	1.739983e+000	-9.820683e-002
