time	V(n012)	V(n015)	I(L1)
1.862329675146775e-007	3.090987e-004	1.499997e+001	-1.742685e-003
2.239667635002347e-007	3.178884e-004	1.500000e+001	-2.525456e-003
2.765714351894543e-007	3.365386e-004	1.500000e+001	-3.847501e-003
3.338181381571206e-007	3.685603e-004	1.500000e+001	-5.580372e-003
4.091548906967546e-007	4.229669e-004	1.500000e+001	-8.311959e-003
4.948063998592976e-007	5.047956e-004	1.500000e+001	-1.199726e-002
6.044217470667633e-007	6.315981e-004	1.500000e+001	-1.753242e-002
7.338902428469646e-007	8.133998e-004	1.500000e+001	-2.506930e-002
9.001779808095246e-007	1.080340e-003	1.500000e+001	-3.593053e-002
1.095490480809525e-006	1.428078e-003	1.500000e+001	-4.963095e-002
1.290802980809525e-006	1.783615e-003	1.500000e+001	-6.355710e-002
1.486115480809525e-006	2.125255e-003	1.500000e+001	-7.681107e-002
1.681427980809525e-006	2.424527e-003	1.500000e+001	-8.869690e-002
1.814687500000000e-006	2.596943e-003	1.500000e+001	-9.584726e-002
1.844687499999999e-006	2.630989e-003	1.500000e+001	-9.720591e-002
1.930000000000001e-006	2.717777e-003	1.500000e+001	-1.006590e-001
1.941428571428572e-006	2.727935e-003	1.500000e+001	-1.010767e-001
1.952857142857143e-006	2.737897e-003	1.500000e+001	-1.014829e-001
1.964285714285714e-006	2.747662e-003	1.500000e+001	-1.018776e-001
1.975714285714286e-006	2.757230e-003	1.500000e+001	-1.022608e-001
1.987142857142857e-006	2.766602e-003	1.500000e+001	-1.026324e-001
1.998571428571429e-006	2.775776e-003	1.500000e+001	-1.029926e-001
2.010000000000000e-006	2.784754e-003	1.500000e+001	-1.033413e-001
2.010554646728897e-006	2.725125e-003	1.470381e+001	-1.033579e-001
2.011663940186692e-006	2.594384e-003	1.405643e+001	-1.033909e-001
2.013882527102282e-006	2.350898e-003	1.257255e+001	-1.034566e-001
2.016275344364104e-006	2.118352e-003	1.069485e+001	-1.035270e-001
2.020000000000000e-006	1.755413e-003	7.420772e+000	-1.036359e-001
2.020330792002211e-006	1.762098e-003	7.262796e+000	-1.036455e-001
2.020992376006634e-006	1.791280e-003	6.956793e+000	-1.036647e-001
2.022315544015479e-006	1.862161e-003	6.379205e+000	-1.037029e-001
2.023670869543859e-006	1.929847e-003	5.842177e+000	-1.037418e-001
2.026381520600618e-006	2.081875e-003	4.917074e+000	-1.038191e-001
2.030400970272090e-006	2.403735e-003	3.749292e+000	-1.039327e-001
2.032124978655040e-006	2.664581e-003	3.324356e+000	-1.039811e-001
2.033341985514076e-006	2.990851e-003	3.062811e+000	-1.040150e-001
