Freq.	V(Vout+,Vout-)*45
1.22442442442443e+004	(-1.60104393067884e+001dB,1.59180735313503e+002°)
1.23603603603604e+004	(-1.58494211968176e+001dB,1.58991392056089e+002°)
1.24764764764765e+004	(-1.56899497085342e+001dB,1.58802255504795e+002°)
1.25925925925926e+004	(-1.55319960731271e+001dB,1.58613326621907e+002°)
1.27087087087087e+004	(-1.53755323023305e+001dB,1.58424606346681e+002°)
1.28248248248248e+004	(-1.52205311600003e+001dB,1.58236095595297e+002°)
1.29409409409410e+004	(-1.50669661349740e+001dB,1.58047795260827e+002°)
1.30570570570571e+004	(-1.49148114151426e+001dB,1.57859706213200e+002°)
1.31731731731732e+004	(-1.47640418626731e+001dB,1.57671829299167e+002°)
1.32892892892893e+004	(-1.46146329903189e+001dB,1.57484165342277e+002°)
1.34054054054054e+004	(-1.44665609387624e+001dB,1.57296715142848e+002°)
1.35215215215215e+004	(-1.43198024549354e+001dB,1.57109479477946e+002°)
1.36376376376376e+004	(-1.41743348712681e+001dB,1.56922459101364e+002°)
1.37537537537538e+004	(-1.40301360858192e+001dB,1.56735654743604e+002°)
1.38698698698699e+004	(-1.38871845432416e+001dB,1.56549067111864e+002°)
1.39859859859860e+004	(-1.37454592165440e+001dB,1.56362696890024e+002°)
1.41021021021021e+004	(-1.36049395896067e+001dB,1.56176544738638e+002°)
1.42182182182182e+004	(-1.34656056404152e+001dB,1.55990611294927e+002°)
1.43343343343343e+004	(-1.33274378249782e+001dB,1.55804897172773e+002°)
1.44504504504505e+004	(-1.31904170618936e+001dB,1.55619402962718e+002°)
1.45665665665666e+004	(-1.30545247175344e+001dB,1.55434129231966e+002°)
1.46826826826827e+004	(-1.29197425918235e+001dB,1.55249076524382e+002°)
1.47987987987988e+004	(-1.27860529045695e+001dB,1.55064245360501e+002°)
1.49149149149149e+004	(-1.26534382823373e+001dB,1.54879636237534e+002°)
1.50310310310310e+004	(-1.25218817458299e+001dB,1.54695249629378e+002°)
1.51471471471472e+004	(-1.23913666977549e+001dB,1.54511085986627e+002°)
1.52632632632633e+004	(-1.22618769111566e+001dB,1.54327145736586e+002°)
1.53793793793794e+004	(-1.21333965181906e+001dB,1.54143429283290e+002°)
1.54954954954955e+004	(-1.20059099993213e+001dB,1.53959937007518e+002°)
1.56116116116116e+004	(-1.18794021729237e+001dB,1.53776669266817e+002°)
1.57277277277277e+004	(-1.17538581852710e+001dB,1.53593626395520e+002°)
1.58438438438439e+004	(-1.16292635008920e+001dB,1.53410808704775e+002°)
1.59599599599600e+004	(-1.15056038932800e+001dB,1.53228216482568e+002°)
1.60760760760761e+004	(-1.13828654359403e+001dB,1.53045849993750e+002°)
1.61921921921922e+004	(-1.12610344937605e+001dB,1.52863709480071e+002°)
1.63083083083083e+004	(-1.11400977146887e+001dB,1.52681795160205e+002°)
1.64244244244244e+004	(-1.10200420217095e+001dB,1.52500107229787e+002°)
1.65405405405406e+004	(-1.09008546051011e+001dB,1.52318645861449e+002°)
1.66566566566567e+004	(-1.07825229149659e+001dB,1.52137411204851e+002°)
1.67727727727728e+004	(-1.06650346540195e+001dB,1.51956403386724e+002°)
1.68888888888889e+004	(-1.05483777706303e+001dB,1.51775622510905e+002°)
1.70050050050050e+004	(-1.04325404520972e+001dB,1.51595068658380e+002°)
1.71211211211211e+004	(-1.03175111181572e+001dB,1.51414741887327e+002°)
1.72372372372372e+004	(-1.02032784147126e+001dB,1.51234642233156e+002°)
1.73533533533534e+004	(-1.00898312077693e+001dB,1.51054769708555e+002°)
1.74694694694695e+004	(-9.97715857757820e+000dB,1.50875124303539e+002°)
1.75855855855856e+004	(-9.86524981297029e+000dB,1.50695705985492e+002°)
1.77017017017017e+004	(-9.75409440587940e+000dB,1.50516514699216e+002°)
1.78178178178178e+004	(-9.64368204604396e+000dB,1.50337550366987e+002°)
1.79339339339339e+004	(-9.53400261588148e+000dB,1.50158812888594e+002°)
1.80500500500500e+004	(-9.42504618552876e+000dB,1.49980302141400e+002°)
1.81661661661662e+004	(-9.31680300804154e+000dB,1.49802017980389e+002°)
1.82822822822823e+004	(-9.20926351474740e+000dB,1.49623960238223e+002°)
1.83983983983984e+004	(-9.10241831074620e+000dB,1.49446128725291e+002°)
1.85145145145145e+004	(-8.99625817055231e+000dB,1.49268523229767e+002°)
1.86306306306306e+004	(-8.89077403387348e+000dB,1.49091143517667e+002°)
1.87467467467467e+004	(-8.78595700152112e+000dB,1.48913989332901e+002°)
1.88628628628628e+004	(-8.68179833144706e+000dB,1.48737060397334e+002°)
1.89789789789790e+004	(-8.57828943490238e+000dB,1.48560356410840e+002°)
1.90950950950951e+004	(-8.47542187271342e+000dB,1.48383877051363e+002°)
1.92112112112112e+004	(-8.37318735167114e+000dB,1.48207621974974e+002°)
1.93273273273273e+004	(-8.27157772102941e+000dB,1.48031590815932e+002°)
1.94434434434434e+004	(-8.17058496910830e+000dB,1.47855783186740e+002°)
1.95595595595595e+004	(-8.07020121999891e+000dB,1.47680198678207e+002°)
1.96756756756756e+004	(-7.97041873036576e+000dB,1.47504836859508e+002°)
1.97917917917918e+004	(-7.87122988634348e+000dB,1.47329697278248e+002°)
1.99079079079079e+004	(-7.77262720052445e+000dB,1.47154779460513e+002°)
2.00240240240240e+004	(-7.67460330903419e+000dB,1.46980082910944e+002°)
2.01401401401401e+004	(-7.57715096869146e+000dB,1.46805607112786e+002°)
2.02562562562562e+004	(-7.48026305425008e+000dB,1.46631351527957e+002°)
2.03723723723723e+004	(-7.38393255571976e+000dB,1.46457315597107e+002°)
2.04884884884884e+004	(-7.28815257576313e+000dB,1.46283498739678e+002°)
2.06046046046046e+004	(-7.19291632716645e+000dB,1.46109900353966e+002°)
