Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.24624624624624e+005	(-2.91454720637858e+001dB,-1.00635705517124e+002°)
1.24824824824824e+005	(-2.89725146228895e+001dB,-1.00739053419582e+002°)
1.25025025025025e+005	(-2.87983409312889e+001dB,-1.00844331525888e+002°)
1.25225225225225e+005	(-2.86229269913183e+001dB,-1.00951597353945e+002°)
1.25425425425425e+005	(-2.84462481167344e+001dB,-1.01060910792789e+002°)
1.25625625625625e+005	(-2.82682789056192e+001dB,-1.01172334227928e+002°)
1.25825825825825e+005	(-2.80889932119492e+001dB,-1.01285932674772e+002°)
1.26026026026026e+005	(-2.79083641157544e+001dB,-1.01401773920768e+002°)
1.26226226226226e+005	(-2.77263638917828e+001dB,-1.01519928676904e+002°)
1.26426426426426e+005	(-2.75429639765833e+001dB,-1.01640470739327e+002°)
1.26626626626626e+005	(-2.73581349339118e+001dB,-1.01763477161849e+002°)
1.26826826826826e+005	(-2.71718464183595e+001dB,-1.01889028440231e+002°)
1.27027027027027e+005	(-2.69840671370966e+001dB,-1.02017208709173e+002°)
1.27227227227227e+005	(-2.67947648096158e+001dB,-1.02148105953051e+002°)
1.27427427427427e+005	(-2.66039061253542e+001dB,-1.02281812231540e+002°)
1.27627627627627e+005	(-2.64114566990601e+001dB,-1.02418423921344e+002°)
1.27827827827827e+005	(-2.62173810237673e+001dB,-1.02558041975411e+002°)
1.28028028028028e+005	(-2.60216424212264e+001dB,-1.02700772201103e+002°)
1.28228228228228e+005	(-2.58242029896316e+001dB,-1.02846725558964e+002°)
1.28428428428428e+005	(-2.56250235484749e+001dB,-1.02996018483885e+002°)
1.28628628628628e+005	(-2.54240635803427e+001dB,-1.03148773230634e+002°)
1.28828828828828e+005	(-2.52212811694603e+001dB,-1.03305118245934e+002°)
1.29029029029029e+005	(-2.50166329367768e+001dB,-1.03465188569491e+002°)
1.29229229229229e+005	(-2.48100739713655e+001dB,-1.03629126266612e+002°)
1.29429429429429e+005	(-2.46015577579038e+001dB,-1.03797080895351e+002°)
1.29629629629629e+005	(-2.43910360999775e+001dB,-1.03969210011423e+002°)
1.29829829829829e+005	(-2.41784590389389e+001dB,-1.04145679714461e+002°)
1.30030030030030e+005	(-2.39637747680304e+001dB,-1.04326665239620e+002°)
1.30230230230230e+005	(-2.37469295414647e+001dB,-1.04512351598916e+002°)
1.30430430430430e+005	(-2.35278675781364e+001dB,-1.04702934277249e+002°)
1.30630630630630e+005	(-2.33065309596160e+001dB,-1.04898619988545e+002°)
1.30830830830830e+005	(-2.30828595220589e+001dB,-1.05099627498139e+002°)
1.31031031031031e+005	(-2.28567907416388e+001dB,-1.05306188518183e+002°)
1.31231231231231e+005	(-2.26282596130951e+001dB,-1.05518548683698e+002°)
1.31431431431431e+005	(-2.23971985209611e+001dB,-1.05736968617767e+002°)
1.31631631631631e+005	(-2.21635371030198e+001dB,-1.05961725095405e+002°)
1.31831831831831e+005	(-2.19272021055148e+001dB,-1.06193112316806e+002°)
1.32032032032032e+005	(-2.16881172296261e+001dB,-1.06431443301993e+002°)
1.32232232232232e+005	(-2.14462029687069e+001dB,-1.06677051420384e+002°)
1.32432432432432e+005	(-2.12013764357686e+001dB,-1.06930292070544e+002°)
1.32632632632632e+005	(-2.09535511806961e+001dB,-1.07191544527308e+002°)
1.32832832832832e+005	(-2.07026369966841e+001dB,-1.07461213975740e+002°)
1.33033033033033e+005	(-2.04485397154001e+001dB,-1.07739733753935e+002°)
1.33233233233233e+005	(-2.01911609904129e+001dB,-1.08027567829631e+002°)
1.33433433433433e+005	(-1.99303980684797e+001dB,-1.08325213538964e+002°)
